collected_at,area,yuan_to_wan_gold,wan_gold_to_yuan,price_yuan,stock
2026-09-02T01:00:01Z,绿水灵,4.59,0.2179,100,1
2026-09-02T01:00:01Z,蘑菇仔,4.5455,0.22,44,1
2026-09-02T01:00:01Z,蓝蜗牛,4.6011,0.2173,178,1
2026-09-02T05:30:01Z,小白兔,4.2254,0.2367,71,1
2026-09-02T05:30:01Z,漂漂猪,4.1667,0.24,360,1
2026-09-02T05:30:01Z,绿水灵,4.6163,0.2166,86,1
2026-09-02T05:30:01Z,蘑菇仔,4.45,0.2247,100,1
2026-09-02T05:30:01Z,蓝蜗牛,4.6774,0.2138,310,1
2026-09-02T10:00:01Z,小白兔,4.2683,0.2343,41,1
2026-09-02T10:00:01Z,漂漂猪,4.1786,0.2393,28,1
2026-09-02T10:00:01Z,绿水灵,4.6117,0.2168,206,1
2026-09-02T10:00:01Z,蘑菇仔,4.5455,0.22,132,1
2026-09-02T10:00:01Z,蓝蜗牛,4.5455,0.22,220,1
2026-09-02T14:30:01Z,小白兔,4.3103,0.232,58,1
2026-09-02T14:30:01Z,漂漂猪,4.1795,0.2393,78,1
2026-09-02T14:30:01Z,绿水灵,4.6875,0.2133,160,1
2026-09-02T14:30:01Z,蘑菇仔,4.6729,0.214,107,1
2026-09-02T14:30:01Z,蓝蜗牛,4.4643,0.224,22.4,1
2026-09-02T18:00:01Z,小白兔,4.2345,0.2362,92.1,1
2026-09-02T18:00:01Z,漂漂猪,4.0541,0.2467,296,1
2026-09-02T18:00:01Z,绿水灵,4.7619,0.21,42,1
2026-09-02T18:00:01Z,蘑菇仔,4.5455,0.22,39.6,1
2026-09-02T18:00:01Z,蓝蜗牛,4.4444,0.225,225,5
2026-09-02T21:00:01Z,小白兔,4.2945,0.2329,163,1
2026-09-02T21:00:01Z,漂漂猪,4.065,0.246,246,1
2026-09-02T21:00:01Z,绿水灵,4.6154,0.2167,65,1
2026-09-02T21:00:01Z,蘑菇仔,4.5455,0.22,264,1
2026-09-02T21:00:01Z,蓝蜗牛,4.3182,0.2316,220,1
2026-09-02T23:00:01Z,小白兔,4.4444,0.225,117,1
2026-09-02T23:00:01Z,漂漂猪,4.2529,0.2351,87,1
2026-09-02T23:00:01Z,绿水灵,4.7136,0.2122,199,1
2026-09-02T23:00:01Z,蘑菇仔,4.5455,0.22,66,1
2026-09-02T23:00:01Z,蓝蜗牛,4.3182,0.2316,220,1
2026-09-03T01:00:01Z,小白兔,4.5455,0.22,66,1
2026-09-03T01:00:01Z,漂漂猪,4.2308,0.2364,91,1
2026-09-03T01:00:01Z,绿水灵,4.5872,0.218,21.8,2
2026-09-03T01:00:01Z,蘑菇仔,4.6296,0.216,108,1
2026-09-03T01:00:01Z,蓝蜗牛,4.6154,0.2167,260,1
